Month,   HPI(NSA),       Loans(Billions)     
187,     71.581074354,     814.3
188,     71.604551836,     819.2724
189,     71.476377169,     823.2676
190,     71.24190612,     829.0683
191,     70.980537988,     834.2879
192,     70.850344696,     841.674
193,     70.813196618,     846.6231
194,     70.817267382,     851.7665
195,     70.918751496,     857.3228
196,     71.055664055,     860.6241
197,     71.206440642,     862.4254
198,     71.357529541,     865.8843
199,     71.410191601,     864.5143
200,     71.333015068,     863.7478
201,     71.318278238,     864.3685
202,     71.434657917,     865.7363
203,     71.542905147,     867.0885
204,     71.610034512,     868.1165
205,     71.737401157,     871.0307
206,     71.942472221,     873.3764
207,     72.089760331,     874.6551
208,     72.127835835,     881.1655
209,     72.125394533,     881.7521
210,     72.173821181,     879.398
211,     72.314450548,     878.6274
212,     72.514029117,     880.2327
213,     72.639449985,     882.9404
214,     72.690923215,     885.7628
215,     72.686410041,     887.0419
216,     72.421787777,     887.7951
217,     72.039059615,     886.1375
218,     71.90607703,     886.8902
219,     72.087408245,     889.817
220,     72.412100486,     892.7521
221,     72.751422988,     898.1535
222,     73.01349633,     902.3509
223,     73.115850326,     904.4331
224,     73.173787334,     907.2896
225,     73.165100607,     910.6837
226,     73.067304055,     914.8451
227,     72.993157655,     919.1996
228,     72.915515648,     928.6141
229,     72.849281274,     929.5395
230,     72.930569129,     929.5205
231,     73.243532117,     931.8595
232,     73.720637037,     935.5997
233,     74.209878151,     939.7904
234,     74.60704723,     944.6796
235,     74.844429371,     951.3919
236,     74.891553596,     957.4578
237,     74.843729091,     965.093
238,     74.806547411,     971.2454
239,     74.769167135,     977.7818
240,     74.708488496,     987.7965
241,     74.689235777,     996.8635
242,     74.764271632,     1006.14
243,     74.886732537,     1013.5787
244,     75.06391725,     1019.9844
245,     75.301482647,     1027.8024
246,     75.520752316,     1035.1312
247,     75.736641376,     1044.427
248,     75.881180017,     1049.2043
249,     75.828993449,     1054.6997
250,     75.715378609,     1057.2177
251,     75.646450776,     1060.8203
252,     75.583964929,     1062.037
253,     75.595457612,     1068.3768
254,     75.763113063,     1071.5282
255,     76.152286319,     1077.4595
256,     76.687727744,     1079.4901
257,     77.183175769,     1081.6912
258,     77.623502324,     1084.7341
259,     77.87414831,     1080.6287
260,     77.871105403,     1089.1303
261,     77.813208683,     1096.0845
262,     77.76554759,     1104.9199
263,     77.698777417,     1112.1538
264,     77.617924592,     1122.928
265,     77.631025538,     1130.0224
266,     77.84096749,     1135.2779
267,     78.299621337,     1147.7847
268,     78.87908061,     1160.8243
269,     79.381206175,     1172.0884
270,     79.754942325,     1183.4731
271,     79.997407455,     1190.3933
272,     80.110016391,     1196.3439
273,     80.187492842,     1208.0963
274,     80.308878686,     1214.9728
275,     80.451505517,     1219.5258
276,     80.532407802,     1220.5712
277,     80.63580199,     1224.4833
278,     81.03223894,     1238.0022
279,     81.704640169,     1252.3465
280,     82.50735753,     1259.1495
281,     83.312423837,     1259.8115
282,     83.994892487,     1260.7427
283,     84.491784008,     1265.4353
284,     84.768987113,     1271.8316
285,     84.936807931,     1274.9339
286,     85.155132723,     1283.9312
287,     85.390076436,     1302.8752
288,     85.592858737,     1311.3407
289,     85.878087237,     1317.5389
290,     86.350238507,     1320.7393
291,     87.042389055,     1326.1926
292,     87.894447043,     1332.0922
293,     88.809191462,     1341.0681
294,     89.683178567,     1346.5987
295,     90.368864669,     1354.1013
296,     90.852859316,     1369.6262
297,     91.163171085,     1388.4859
298,     91.387177229,     1411.7355
299,     91.679043878,     1425.3919
300,     92.324509995,     1460.6777
301,     92.85117468,     1481.3707
302,     93.300993182,     1492.065
303,     94.250196552,     1517.886
304,     95.366923304,     1541.2059
305,     96.475700036,     1564.9851
306,     97.420304613,     1584.2588
307,     98.100661907,     1599.8712
308,     98.53419514,     1612.4187
309,     98.879800419,     1624.0227
310,     99.307769225,     1625.4399
311,     99.70287375,     1636.4446
312,     100,             1639.8448
313,     100.37767125,     1642.8112
314,     101.05051864,     1655.0701
315,     102.02728269,     1668.4876
316,     103.08701682,     1682.3215
317,     104.05298381,     1694.9559
318,     104.94052337,     1698.5212
319,     105.69304875,     1701.214
320,     106.18642334,     1701.6415
321,     106.53956422,     1713.4803
322,     106.82559459,     1717.5879
323,     107.00122437,     1741.8206
324,     107.2301131,     1759.9188
325,     107.71349601,     1757.8455
326,     108.50501052,     1766.5165
327,     109.66617484,     1772.0546
328,     111.04212659,     1781.3322
329,     112.42208524,     1790.2731
330,     113.75810844,     1815.5768
331,     114.95009281,     1834.9388
332,     115.81854398,     1863.4912
333,     116.4644196,     1900.8644
334,     117.09965595,     1947.3937
335,     117.57441469,     1984.5507
336,     117.93313186,     2012.9895
337,     118.33367129,     2037.6829
338,     118.94522779,     2067.461
339,     120.04041985,     2084.4675
340,     121.3781009,     2104.9216
341,     122.61780625,     2130.674
342,     123.89605021,     2148.9317
343,     125.25394578,     2174.8038
344,     126.40210231,     2216.457
345,     127.22811401,     2234.0823
346,     127.88119897,     2213.9855
347,     128.45616193,     2207.0458
348,     129.02258899,     2211.1608
349,     129.70461516,     2228.7356
350,     130.80755576,     2251.1725
351,     132.48262503,     2290.6599
352,     134.69480126,     2340.2326
353,     137.2481008,     2383.0158
354,     139.59338122,     2408.0244
355,     141.32249357,     2410.5738
356,     142.39882195,     2432.3355
357,     143.14590226,     2465.6736
358,     143.89972321,     2496.5749
359,     144.55694399,     2531.007
360,     145.11086006,     2556.4889
361,     145.98884018,     2580.2477
362,     147.44206911,     2604.9976
363,     149.55273349,     2652.5989
364,     152.08572708,     2677.3609
365,     154.54713136,     2694.9694
366,     156.74183715,     2732.2673
367,     158.61157318,     2778.7152
368,     160.06639411,     2819.6417
369,     161.00655965,     2844.7555
370,     161.53374104,     2870.8044
371,     161.75643541,     2898.2032
372,     161.73933487,     2928.881
373,     161.89755669,     2948.0616
374,     162.6226591,     2971.4864
375,     163.85493975,     3001.5789
376,     165.26286098,     3025.6068
377,     166.52840655,     3057.8312
378,     167.29613314,     3092.4501
379,     167.38316857,     3118.3565
380,     166.81552114,     3126.953
381,     165.91118001,     3158.2317
382,     165.03374244,     3308.4713
383,     164.08043587,     3338.1116
384,     163.18104264,     3373.5458
385,     162.93365822,     3395.9705
386,     163.54130413,     3421.0581
387,     164.59571907,     3367.5419
388,     165.40654812,     3385.647
389,     165.75312182,     3409.5548
390,     165.69919499,     3427.5698
391,     164.99651361,     3446.4698
392,     163.65649411,     3468.0311
393,     161.83005531,     3503.7264
394,     159.59802093,     3558.6989
395,     157.13734725,     3586.6352
396,     154.64316011,     3600.1125
397,     152.38023275,     3613.9741
398,     150.62334148,     3628.4813
399,     149.49332629,     3652.54
400,     148.83001529,     3656.1815
401,     148.3643854,     3649.7244
402,     147.91151819,     3637.1764
403,     146.99709066,     3629.5681
404,     145.43212817,     3630.0525
405,     143.47240547,     3669.5662
406,     141.17826965,     3826.4978
407,     138.46035959,     3825.6976
408,     135.64132553,     3819.4849
409,     133.51763443,     3800.9904
410,     132.36621609,     3825.0447
411,     131.86368792,     3829.0159
412,     131.88430632,     3837.4989
413,     132.54107166,     3877.5353
414,     133.46706673,     3860.2559
415,     133.93184508,     3839.4112
416,     133.86692462,     3814.6095
417,     133.59473743,     3768.0044
418,     133.24925373,     3743.1403
419,     132.62835167,     3804.0845
420,     131.61509212,     3776.9329
421,     130.76360025,     3757.4179
422,     130.69213741,     3720.6878
423,     131.21319466,     3706.5314
424,     131.86363493,     3711.6916
425,     132.3144441,     3699.1242
426,     132.10163051,     3682.2858
427,     131.26721375,     3662.1452
428,     130.07178935,     3656.166
429,     128.76114495,     3643.9252
430,     127.59588994,     3628.5954
431,     126.4589669,     3622.1292
432,     125.2132559,     3613.5652
433,     124.14738092,     3602.6564
434,     123.61591615,     3569.9002
435,     123.71485324,     3540.6477
436,     124.18888867,     3520.207
437,     124.68547912,     3507.8008
438,     125.04973157,     3501.0105
439,     124.9713581,     3498.1092
440,     124.43209303,     3493.123
441,     123.71214878,     3490.3871
442,     122.90202948,     3499.1524
443,     122.12099513,     3503.7216
444,     121.25583049,     3495.0692
445,     120.53275508,     3510.7395
446,     120.63897724,     3539.2123
447,     121.84922716,     3544.2574
448,     123.67798327,     3540.3995
449,     125.45690931,     3538.636
450,     126.82277416,     3528.1972
451,     127.57864567,     3525.9685
452,     127.96753522,     3527.3419
453,     128.30410975,     3531.3391
454,     128.62457622,     3527.6859
455,     128.73675034,     3554.7586
456,     128.71470935,     3550.78
457,     129.11703868,     3559.847
458,     130.38389517,     3553.5021
459,     132.46216202,     3548.7344
